Hash,Ply,GamePly,FEN,HasCastled,Eval,Result
3FFF4EFBDFD6A115,45,73,r2r2k1/pp1b1p1p/1q4pQ/5p2/2B4R/2P5/PP4PP/5R1K b - - 3 23,3,201,1.0
6424CAD040055B7B,29,195,r1b2rk1/1ppq1pb1/2n1p1p1/3n2Np/p2PP2P/5NP1/PP3PB1/R1BQR1K1 b - - 0 15,3,84,1.0
DB6E8B0E9AE853B8,41,151,r3r1k1/ppq2pp1/2ppnn1p/P3b3/1P2P2P/R1N1BBP1/2PQ1P2/3R2K1 b - - 0 21,3,-10,1.0
53780F072769F77D,29,194,r2q1rk1/pp3ppp/2np1n2/4p1B1/N1PbP3/6P1/PP2QPBP/R4RK1 b - - 1 15,3,-27,0.5
1D6542FE08C098AA,61,117,2r3k1/1p1q1p2/1pn2P2/p1b1p1B1/P3P2P/1QPP4/4B2K/R7 b - - 0 31,3,364,1.0
A431170795EE47EE,153,196,8/2r5/1p2r1k1/pPp1Pqp1/2Pp1p1p/1P1P1Q1P/4R1P1/4R1K1 b - - 57 77,3,-126,0.0
CB2EDC790E70438F,29,107,r4rk1/p1p2ppp/1pb2n2/3p4/1q1P1B2/6P1/PP1QPP1P/R3KB1R b KQ - 5 15,2,5,0.5
C40D9E01F5D99B78,169,238,8/8/6K1/8/1p5q/1k6/4b3/Q7 b - - 31 85,3,-962,0.5
CAF2923B15B2D857,108,121,8/p3Ppkp/5p2/P1K2P2/7P/6P1/2b1B3/8 w - - 1 55,3,1877,1.0
8D7B27FBE9F56602,132,157,R7/2N5/3k4/8/p7/8/8/6K1 w - - 2 67,3,1625,1.0
014BC54F2080C234,46,93,1n1q1k1r/2r1npp1/pp1pp3/3p2p1/PP1P2P1/Q1PBPP2/3NK2P/2R4R w - - 2 24,0,2,1.0
1FFDE95CA9AE51E4,125,252,8/7k/4p1Rp/7P/4r3/7K/6P1/8 b - - 8 63,2,17,0.5
5470F9F680AE2A00,56,76,4rbk1/1q3pp1/p1Nr1n1p/4p3/1PR5/5P2/P1Q2BPP/5R1K w - - 0 29,3,90,0.0
213F66A3E0D9317A,165,218,8/8/2p1pk1p/2P3p1/1K4b1/8/8/8 b - - 1 83,1,-1491,0.0
59416EDB93698F21,22,127,r3k2r/p1ppbppp/bnp5/4P3/1qP1Q3/8/PP1NBPPP/R1B1K2R w KQkq - 7 12,0,151,1.0
C539587FBB35FA0B,116,153,8/8/1p4p1/2kp1pp1/PR6/2P1KPP1/4N2P/4q3 w - - 0 59,1,-257,0.5
CD95213867493A1E,242,426,8/5p2/4pB2/4P1P1/3b1K2/7k/8/8 w - - 21 122,3,-37,0.5
2FAAF1902D8ED129,58,173,r5k1/5ppp/2Nbp3/3q4/2RP4/1P2Q1PP/P4P2/6K1 w - - 3 30,3,251,1.0
45869FA7B2652F49,92,121,8/5pp1/4pk1n/N6p/5P1P/1R4P1/2r5/4K3 w - - 5 47,3,-342,0.0
F74A0563D4C0BF3A,230,319,8/2B5/p3k1p1/Pb6/8/6KP/6P1/8 w - - 48 116,1,184,0.5
C45997A9746CEB75,49,107,6k1/3n2pp/2qp1b2/5P2/1r6/2N4P/1P3P2/2BQR1K1 b - - 0 25,3,22,0.5
BB12460ADF7A4981,139,185,3k4/1p3K2/2p1RP2/2P5/7r/8/8/8 b - - 4 70,1,324,1.0
C0E66552AD40FE82,31,136,2bk3r/pp1n1ppp/8/2bN4/1P1p1p2/8/P1P2PPP/2KR3R b - b3 0 16,1,-251,0.5
